"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"112","bmg2024idum","2024-04-25T22:03:02.083529Z","-2.2089555263519287","102.38870239257812","3.464909893708847","M","202","50","155.41236877441406","Southern Sumatra, Indonesia","BMKG"
"113","bmg2024idsr","2024-04-25T21:07:37.316267Z","-5.690615177154541","130.0009307861328","4.395739411146246","M","204","43","94.84564208984375","Banda Sea","BMKG"
"114","bmg2024iddb","2024-04-25T13:14:31.630863Z","-3.305683135986328","128.3769073486328","3.9302554608815314","M","6","39","77.21968078613281","Seram, Indonesia","BMKG"
"115","bmg2024icys","2024-04-25T11:03:03.376437Z","-9.393893241882324","107.86392974853516","4.872939330383271","M","20","138","217.77671813964844","South of Java, Indonesia","BMKG"
"116","bmg2024icum","2024-04-25T08:54:47.146426Z","-3.2953333854675293","128.43617248535156","4.649653940833587","M","1","76","47.35745239257812","Seram, Indonesia","BMKG"
"117","bmg2024icsg","2024-04-25T07:46:10.71903Z","-8.878595352172852","124.1875762939453","3.1428904884932916","M","66","33","88.49142837524414","Timor Region","BMKG"
"118","bmg2024icrm","2024-04-25T07:23:58.078385Z","-4.56708812713623","102.76378631591797","2.9493666348397283","M","39","37","114.91213989257812","Southern Sumatra, Indonesia","BMKG"
"119","bmg2024icqy","2024-04-25T07:06:39.13854Z","-3.321645975112915","128.3719940185547","3.632409984718913","M","8","35","111.38285827636719","Seram, Indonesia","BMKG"
"120","bmg2024icoe","2024-04-25T05:42:51.126438Z","1.306548833847046","120.80939483642578","3.8080109044372956","M","96","30","168.88006591796875","Minahassa Peninsula, Sulawesi","BMKG"
"121","bmg2024iclq","2024-04-25T04:26:34.32925Z","-2.898540258407593","100.00755310058594","4.628567925451832","M","21","83","205.6549301147461","Southern Sumatra, Indonesia","BMKG"
"122","bmg2024icdb","2024-04-25T00:06:27.552029Z","-8.960713386535645","123.98409271240234","3.9879488675145813","M","72","69","42.69095230102539","Flores Region, Indonesia","BMKG"
"123","bmg2024icbh","2024-04-24T23:12:51.356261Z","-6.68114423751831","104.12033081054688","3.8869285171720187","M","10","30","210.85733032226562","Sunda Strait, Indonesia","BMKG"
"124","bmg2024icau","2024-04-24T22:57:10.875334Z","-8.262982368469238","119.63326263427734","2.203955177971661","M","159","27","132.72572326660156","Flores Region, Indonesia","BMKG"
"125","bmg2024icar","2024-04-24T22:54:17.781479Z","-2.4565885066986084","140.44308471679688","2.8022926962485797","M","8","9","186.71268463134766","Near North Coast of West Papua","BMKG"
"126","bmg2024ibyl","2024-04-24T21:46:05.635634Z","-6.87671709060669","129.65158081054688","4.312593585216871","M","111","14","104.96900939941406","Banda Sea","BMKG"
"127","bmg2024ibxo","2024-04-24T21:18:17.921673Z","-8.064011573791504","107.27581024169922","3.1825750436649045","M","16","32","228.94342041015625","Java, Indonesia","BMKG"
"128","bmg2024ibwq","2024-04-24T20:51:50.653387Z","-7.824079513549805","117.39993286132812","3.38322840502916","M","13","41","170.51793670654297","Bali Sea","BMKG"
"129","bmg2024ibwm","2024-04-24T20:47:09.751914Z","-8.14799976348877","107.901611328125","3.770563085460504","M","8","60","210.6854476928711","Java, Indonesia","BMKG"
"131","bmg2024ibuq","2024-04-24T19:50:23.327968Z","-8.125431060791016","123.94127655029297","3.3721434528871796","M","163","35","152.04874420166016","Flores Region, Indonesia","BMKG"
"132","bmg2024ibre","2024-04-24T18:05:26.532669Z","-2.632359743118286","121.68465423583984","2.910243191816042","M","4","44","78.39020919799805","Sulawesi, Indonesia","BMKG"
"133","bmg2024ibqa","2024-04-24T17:31:27.787767Z","3.47829532623291","96.75399780273438","3.252420308920103","M","28","40","82.11917114257812","Northern Sumatra, Indonesia","BMKG"
"134","bmg2024ibpa","2024-04-24T17:01:02.612834Z","0.1685415506362915","122.56501007080078","4.813169311823243","Mw(mB)","146","220","37.383514404296875","Minahassa Peninsula, Sulawesi","BMKG"
"135","bmg2024ibny","2024-04-24T16:27:54.303085Z","-2.4115631580352783","120.88656616210938","2.9343194390404377","M","5","38","45.75425720214844","Sulawesi, Indonesia","BMKG"
"136","bmg2024ibng","2024-04-24T16:07:11.431006Z","-0.12280213087797165","124.48118591308594","3.7079900661668757","M","10","60","38.459096908569336","Southern Molucca Sea","BMKG"
"137","bmg2024ibjy","2024-04-24T14:26:43.119024Z","-6.915008068084717","106.4352035522461","3.179895442481495","M","131","36","108.97616577148438","Java, Indonesia","BMKG"
"138","bmg2024ibgc","2024-04-24T12:30:37.552298Z","-0.12288862466812134","124.1395492553711","4.239679689207308","M","55","54","42.30682373046875","Southern Molucca Sea","BMKG"
"139","bmg2024iazy","2024-04-24T09:24:06.344106Z","4.368450164794922","126.33413696289062","4.4000156160032793","M","92","28","202.08436584472656","Talaud Islands, Indonesia","BMKG"
"140","bmg2024iavg","2024-04-24T07:01:33.754459Z","0.9762193560600281","98.70642852783203","4.221174639741288","M","35","68","43.16265869140625","Northern Sumatra, Indonesia","BMKG"
"141","bmg2024iave","2024-04-24T06:58:57.966557Z","-2.3606600761413574","140.50709533691406","3.853485024216569","M","10","13","204.75680541992188","Near North Coast of West Papua","BMKG"
"142","bmg2024iasq","2024-04-24T05:41:51.975932Z","-5.943942070007324","112.43580627441406","4.1023065984317313","M","11","55","94.38423156738281","Java Sea","BMKG"
"143","bmg2024iaoc","2024-04-24T03:24:00.245033Z","-4.3041396141052246","136.9837188720703","4.564257036035954","M","13","25","52.64498519897461","West Papua Region, Indonesia","BMKG"
"144","bmg2024iakq","2024-04-24T01:39:34.109359Z","-0.06139108911156654","123.34098052978516","3.3420074571424214","M","130","25","82.2081184387207","Minahassa Peninsula, Sulawesi","BMKG"
"145","bmg2024hzxq","2024-04-23T19:05:10.540621Z","-9.368823051452637","121.45196533203125","3.145290012552813","M","36","60","104.916259765625","Savu Sea","BMKG"
"146","bmg2024hztc","2024-04-23T16:48:15.382076Z","-0.8145628571510315","127.41566467285156","4.057009453617832","M","11","73","63.02053833007812","Halmahera, Indonesia","BMKG"
"147","bmg2024hztb","2024-04-23T16:46:44.347744Z","-9.6765775680542","119.2676010131836","2.5368988896309417","M","46","29","186.48158264160156","Sumba Region, Indonesia","BMKG"
"148","bmg2024hzry","2024-04-23T16:13:22.062554Z","0.885281503200531","120.52625274658203","3.471059012888493","M","10","56","104.1115951538086","Minahassa Peninsula, Sulawesi","BMKG"
"149","bmg2024hzhy","2024-04-23T11:09:39.446369Z","-2.64432954788208","129.68995666503906","3.871033521687316","M","10","32","46.44805908203125","Seram, Indonesia","BMKG"
"150","bmg2024hzhp","2024-04-23T10:59:13.449208Z","-1.2893990278244019","120.46463012695312","2.3718523315975726","M","10","24","72.51494598388672","Sulawesi, Indonesia","BMKG"
"151","bmg2024hyvg","2024-04-23T04:44:35.056748Z","0.11836723238229752","123.1996612548828","2.6849854911839874","M","203","26","102.14445495605469","Minahassa Peninsula, Sulawesi","BMKG"
"152","bmg2024hypk","2024-04-23T01:47:40.2709Z","-8.544923782348633","118.39704132080078","3.465833219539881","M","114","54","90.99652099609375","Sumbawa Region, Indonesia","BMKG"
"153","bmg2024hykx","2024-04-22T23:31:48.47818Z","-4.0476560592651367","128.7037811279297","3.81397544880676","M","17","18","190.40994262695312","Banda Sea","BMKG"
"154","bmg2024hykl","2024-04-22T23:17:07.768244Z","2.142122983932495","126.68466186523438","3.2954960696149964","M","3","10","112.99930572509766","Northern Molucca Sea","BMKG"
"155","bmg2024hyih","2024-04-22T22:11:40.919497Z","-7.80063533782959","127.63931274414062","4.3162614761901894","M","148","57","52.74252319335938","Banda Sea","BMKG"
"156","bmg2024hyht","2024-04-22T21:55:44.837488Z","-8.985067367553711","120.1053237915039","2.323081160246239","M","10","15","90.03938674926758","Flores Region, Indonesia","BMKG"
"157","bmg2024hygu","2024-04-22T21:26:10.139928Z","1.2385882139205933","126.81646728515625","3.645238153921767","M","25","22","110.71621704101562","Northern Molucca Sea","BMKG"
"158","bmg2024hydd","2024-04-22T19:36:17.428654Z","-0.7521854639053345","122.11705017089844","4.0782066720646037","M","5","67","30.45365905761719","Minahassa Peninsula, Sulawesi","BMKG"
"159","bmg2024hxxa","2024-04-22T16:30:47.482086Z","1.0106115341186523","98.8308334350586","3.976663173933692","M","51","43","60.58761596679688","Northern Sumatra, Indonesia","BMKG"
"160","bmg2024hxur","2024-04-22T15:19:38.352758Z","-2.4275405406951904","121.17098236083984","3.3209541887690874","M","2","39","57.45198822021484","Sulawesi, Indonesia","BMKG"
"161","bmg2024hxsj","2024-04-22T14:09:48.517547Z","-1.5074293613433838","134.5375518798828","3.6656882813701124","M","13","15","97.79238510131836","West Papua Region, Indonesia","BMKG"
"162","bmg2024hxsf","2024-04-22T14:05:04.764651Z","-8.598093032836914","112.53294372558594","3.141725560090481","M","76","25","200.94964599609375","Java, Indonesia","BMKG"
"163","bmg2024hxrp","2024-04-22T13:45:48.698025Z","0.5049238204956055","126.31621551513672","3.365729361596066","MLv","10","26","96.57843017578125","Northern Molucca Sea","BMKG"
"164","bmg2024hxnr","2024-04-22T11:46:56.328766Z","-8.273162841796875","119.6673583984375","3.590340673544167","M","160","60","86.2831062078476","Flores Region, Indonesia","BMKG"
"165","bmg2024hxke","2024-04-22T10:01:29.606902Z","-7.958916187286377","110.4778060913086","2.7797353519410106","M","12","36","93.83291625976562","Java, Indonesia","BMKG"
"166","bmg2024hxii","2024-04-22T09:05:16.025219Z","-7.11220121383667","111.86859130859375","3.3623809279341663","M","10","55","52.31777191162109","Java, Indonesia","BMKG"
"167","bmg2024hxfn","2024-04-22T07:40:09.190418Z","-2.2780516147613525","120.99252319335938","3.5286960521766066","M","10","49","53.22518157958984","Sulawesi, Indonesia","BMKG"
"168","bmg2024hxck","2024-04-22T06:06:05.608418Z","-2.071686029434204","100.62940216064453","4.602970360400132","M","27","87","52.37385559082031","Southern Sumatra, Indonesia","BMKG"
"169","bmg2024hwwk","2024-04-22T03:03:13.922843Z","1.0936672687530518","127.01129150390625","4.705842579358675","M","11","93","55.74188613891602","Halmahera, Indonesia","BMKG"
"170","bmg2024hwtx","2024-04-22T01:48:06.266299Z","-2.8529794216156006","119.45557403564453","2.839644297921198","M","10","20","71.43472290039062","Sulawesi, Indonesia","BMKG"
"171","bmg2024hwhy","2024-04-21T19:44:59.828041Z","-1.3949618339538574","120.08209228515625","2.370602709340781","M","10","17","67.41801452636719","Sulawesi, Indonesia","BMKG"
"172","bmg2024hwhw","2024-04-21T19:43:07.176374Z","-0.7599163055419922","99.04578399658203","3.3104981545377044","M","23","24","122.19595336914062","Southern Sumatra, Indonesia","BMKG"
"173","bmg2024hwgd","2024-04-21T18:50:44.106746Z","-8.79074478149414","109.21737670898438","3.866000727862849","M","10","48","216.23318481445312","Java, Indonesia","BMKG"
"174","bmg2024hvyd","2024-04-21T14:48:04.867129Z","0.8546963930130005","100.1400375366211","3.743975305328931","M","196","55","64.55980682373047","Northern Sumatra, Indonesia","BMKG"
"175","bmg2024hvya","2024-04-21T14:45:02.70666Z","0.5111238360404968","120.8971405029297","3.729413246548821","M","63","49","83.04763793945312","Minahassa Peninsula, Sulawesi","BMKG"
"176","bmg2024hvwx","2024-04-21T14:11:11.654309Z","-9.111302375793457","123.3580093383789","2.8593265625370705","M","43","25","68.41908264160156","Timor Region","BMKG"
"177","bmg2024hvwy","2024-04-21T14:10:40.456356Z","-3.135073661804199","139.5715789794922","3.5114182150429047","MLv","10","9","193.89386749267578","West Papua, Indonesia","BMKG"
"178","bmg2024hvwt","2024-04-21T14:05:31.001529Z","-8.959172248840332","118.94940185546875","2.4281872742057","M","67","25","96.66481018066406","Sumbawa Region, Indonesia","BMKG"
"179","bmg2024hvvw","2024-04-21T13:39:37.924011Z","-6.362618923187256","130.02328491210938","4.2470994844629635","M","121","37","128.5426483154297","Banda Sea","BMKG"
"180","bmg2024hvuc","2024-04-21T12:45:51.703956Z","-0.17588253319263458","122.72645568847656","3.000463726493205","M","66","28","77.265380859375","Minahassa Peninsula, Sulawesi","BMKG"
"181","bmg2024hvpn","2024-04-21T10:27:19.619607Z","-8.216590881347656","120.40806579589844","2.6684155007963675","M","16","21","99.047358751297","Flores Region, Indonesia","BMKG"
"182","bmg2024hvpg","2024-04-21T10:18:08.12685Z","-0.6049535274505615","127.8112564086914","3.0528596087923785","M","11","12","223.79052734375","Halmahera, Indonesia","BMKG"
"183","bmg2024hvcr","2024-04-21T03:56:58.060222Z","-9.179533958435059","114.25749969482422","3.6227858331890843","M","34","50","219.10372161865234","South of Bali, Indonesia","BMKG"
"184","bmg2024hvbu","2024-04-21T03:30:06.446499Z","3.0081913471221924","96.17450714111328","3.5627292111584334","M","14","17","105.06837463378906","Northern Sumatra, Indonesia","BMKG"
